ipro_id	ipro_descr
IPR004192	Ubiquinol cytochrome reductase, transmembrane domain
IPR017941	Rieske [2Fe-2S] iron-sulphur domain
IPR012173	U3 small nucleolar ribonucleoprotein complex, subunit Mpp10
IPR015793	Pyruvate kinase, barrel
IPR015795	Pyruvate kinase, C-terminal
IPR011615	p53, DNA-binding domain
IPR028073	PTHB1, N-terminal domain
IPR028074	PTHB1, C-terminal domain
IPR029136	Nuclear protein MDM1
IPR001152	Beta-thymosin
IPR000731	Sterol-sensing domain
IPR002056	Protein import receptor MAS20
IPR003193	ADP-ribosyl cyclase (CD38/157)
IPR011021	Arrestin-like, N-terminal
IPR001672	Phosphoglucose isomerase (PGI)
IPR019335	Conserved oligomeric Golgi complex subunit 7
IPR032354	FOXP, coiled-coil domain
IPR019716	Ribosomal protein L53, mitochondrial
IPR004031	PMP-22/EMP/MP20/Claudin superfamily
IPR011531	Bicarbonate transporter, C-terminal
IPR013769	Band 3 cytoplasmic domain
IPR009580	GPI biosynthesis protein Pig-F
IPR025714	Methyltransferase domain
IPR003038	DAD/Ost2
IPR019340	Histone acetyltransferases subunit 3
IPR022065	Uncharacterised protein family, TMEM59
IPR024956	tRNAHis guanylyltransferase catalytic domain
IPR025845	Thg1 C-terminal domain
IPR004907	ATPase, V1 complex, subunit C
IPR006139	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain
IPR001593	Ribosomal protein S3Ae
IPR000402	Sodium/potassium-transporting ATPase subunit beta
IPR004875	DDE superfamily endonuclease domain
IPR032040	ELYS, beta-propeller domain
IPR019347	Axonemal dynein light chain
IPR019496	Nuclear fragile X mental retardation-interacting protein 1, conserved domain
IPR027799	Replication termination factor 2, RING-finger
IPR002999	Tudor domain
IPR002809	Integral membrane protein EMC3/TMCO1-like
IPR001584	Integrase, catalytic core
IPR000630	Ribosomal protein S8
IPR003395	RecF/RecN/SMC, N-terminal
IPR031972	Cysteine/serine-rich nuclear protein, N-terminal domain
IPR001678	SAM-dependent methyltransferase RsmB/NOP2-type
IPR016009	tRNA methyltransferase TRMD/TRM10-type domain
IPR019336	Intimal thickness related receptor, IRP
IPR002058	PAP/25A-associated
IPR019378	GDP-fucose protein O-fucosyltransferase
IPR009703	Selenoprotein S
IPR000760	Inositol monophosphatase-like
IPR024678	Serine/threonine-protein kinase OSR1/WNK, CCT domain
IPR006903	RNA polymerase II-binding domain
IPR019018	Rab-binding domain FIP-RBD
IPR002319	Phenylalanyl-tRNA synthetase
IPR005121	Ferrodoxin-fold anticodon-binding domain
IPR000996	Clathrin light chain
IPR001269	tRNA-dihydrouridine synthase
IPR010849	Gonadal family
IPR025875	Leucine rich repeat 4
IPR007714	Cilia/flagella-associated protein 20/WDR90/C3orf67
IPR013566	EF hand associated, type-1
IPR013567	EF hand associated, type-2
IPR008656	Inositol-tetrakisphosphate 1-kinase
IPR032076	Tetratricopeptide repeat protein 5, OB fold domain
IPR002547	tRNA-binding domain
IPR023451	Thymidylate synthase/dCMP hydroxymethylase domain
IPR003213	Cytochrome c oxidase, subunit VIb
IPR031662	GTP binding protein, second domain
IPR028119	Snapin/Pallidin/Snn1
IPR031953	mRNA-decapping enzyme, C-terminal
IPR021832	Ankyrin repeat domain-containing protein 13
IPR002035	von Willebrand factor, type A
IPR003903	Ubiquitin interacting motif
IPR006806	ETC complex I subunit
IPR003128	Villin headpiece
IPR000357	HEAT repeat
IPR006047	Glycosyl hydrolase, family 13, catalytic domain
IPR031984	Solute carrier family 3 member 2, N-terminal domain
IPR008855	Translocon-associated
IPR001839	Transforming growth factor-beta, C-terminal
IPR010613	Pescadillo
IPR001627	Sema domain
IPR019163	THO complex, subunit 5
IPR007185	DNA polymerase alpha/epsilon, subunit B
IPR000375	Dynamin central domain
IPR003130	Dynamin GTPase effector
IPR009779	Translocon-associated protein subunit gamma
IPR027244	Vacuolar membrane-associated protein Iml1
IPR011611	Carbohydrate kinase PfkB
IPR001619	Sec1-like protein
IPR019402	Frag1/DRAM/Sfk1
IPR013137	Zinc finger, TFIIB-type
IPR012615	Trematode Eggshell Synthesis
IPR032816	SNARE associated Golgi protein
IPR002068	Alpha crystallin/Hsp20 domain
IPR015222	Phosphatidate cytidylyltransferase, mitochondrial
IPR004910	Yippee/Mis18/Cereblon
IPR007207	CCR4-Not complex component, Not N-terminal domain
IPR007282	NOT2/NOT3/NOT5
IPR006993	SH3-binding, glutamic acid-rich protein
IPR007275	YTH domain
IPR010776	Homologous-pairing protein 2
IPR007110	Immunoglobulin-like domain
IPR032728	Bardet-Biedl syndrome 1, N-terminal
IPR015649	Schwannomin interacting protein 1
IPR011645	Haem NO binding associated
IPR015143	L27-1
IPR022100	Minichromosome loss protein Mcl1, middle region
IPR029409	Transmembrane protein 237
IPR007052	CS domain
IPR008409	Pre-mRNA-splicing factor SPF27
IPR018379	BEN domain
IPR012562	GUCT
IPR001440	Tetratricopeptide repeat 1
IPR013854	Transcription factor AP-2, C-terminal
IPR032384	Kinesin-like protein Kif23, Arf6-interacting domain
IPR000889	Glutathione peroxidase
IPR001765	Carbonic anhydrase
IPR004328	BRO1 domain
IPR013725	DNA replication factor RFC1, C-terminal
IPR002136	Ribosomal protein L4/L1e
IPR006196	RNA-binding domain, S1, IF1 type
IPR003226	Metal-dependent protein hydrolase
IPR014813	Guanine nucleotide-binding protein-like 3, N-terminal domain
IPR002618	UDPGP family
IPR013865	Protein of unknown function DUF1754, eukaryotic
IPR002013	SAC domain
IPR019148	Nuclear protein DGCR14
IPR011502	Nucleoporin Nup85-like
IPR019498	MENTAL domain
IPR005651	Uncharacterised protein family UPF0434/Trm112
IPR009668	RNA polymerase I associated factor, A49-like
IPR013525	ABC-2 type transporter
IPR013970	Replication factor A protein 3
IPR007881	UNC-50
IPR002208	SecY/SEC61-alpha family
IPR019561	Translocon Sec61/SecY, plug domain
IPR008081	Cytoplasmic FMR1-interacting
IPR019440	Chromatid cohesion factor MAU2
IPR008907	P25-alpha
IPR000315	B-box-type zinc finger
IPR004932	Retrieval of early ER protein Rer1
IPR002938	FAD-binding domain
IPR003894	TAFH/NHR1
IPR007900	Transcription initiation factor TFIID component TAF4
IPR000857	MyTH4 domain
IPR006576	BRK domain
IPR018615	Ribosomal protein L55, mitochondrial
IPR001141	Ribosomal protein L27e
IPR008278	4'-phosphopantetheinyl transferase superfamily
IPR019181	Anticodon-binding domain
IPR001128	Cytochrome P450
IPR004160	Translation elongation factor EFTu/EF1A, C-terminal
IPR004161	Translation elongation factor EFTu-like, domain 2
IPR001708	Membrane insertase OXA1/ALB3/YidC
IPR013830	SGNH hydrolase-type esterase domain
IPR003000	Sirtuin family
IPR030395	Glycerophosphodiester phosphodiesterase domain
IPR007244	NatC N(alpha)-terminal acetyltransferase, Mak10 subunit
IPR022309	Ribosomal protein S8e/ribosomal biogenesis NSA2
IPR008576	Alpha-N-methyltransferase NTM1
IPR001090	Ephrin receptor ligand binding domain
IPR013549	Domain of unknown function DUF1731
IPR003140	Phospholipase/carboxylesterase/thioesterase
IPR006634	TRAM/LAG1/CLN8 homology domain
IPR012942	Sensitivity To Red Light Reduced-like, SRR1
IPR001932	PPM-type phosphatase domain
IPR003347	JmjC domain
IPR001578	Peptidase C12, ubiquitin carboxyl-terminal hydrolase
IPR011011	Zinc finger, FYVE/PHD-type
IPR022164	Kinesin-like
IPR032405	Kinesin-associated
IPR021645	Shal-type voltage-gated potassium channels, N-terminal
IPR007603	Choline transporter-like
IPR000257	Uroporphyrinogen decarboxylase (URO-D)
IPR031991	DNA repair protein Rev1, C-terminal
IPR032023	GCC2, Rab binding domain
IPR014891	DWNN domain
IPR025829	Zinc knuckle CX2CX3GHX4C
IPR003864	Calcium-dependent channel, 7TM region, putative phosphate
IPR005919	Higher eukaryotic phosphomevalonate kinase
IPR011666	G patch domain-containing protein, N-terminal
IPR001666	Phosphatidylinositol transfer protein
IPR001498	Impact, N-terminal
IPR006575	RWD domain
IPR007252	Nuclear pore protein 84/107
IPR019273	Lunapark domain
IPR013894	RecQ mediated genome instability protein, N-terminal
IPR032446	S phase cyclin A-associated protein in the endoplasmic reticulum, N-terminal
IPR000557	Calponin repeat
IPR002014	VHS domain
IPR032157	Proteasome assembly chaperone 4
IPR003111	Lon, substrate-binding domain
IPR008269	Peptidase S16, Lon proteolytic domain
IPR005474	Transketolase, N-terminal
IPR000092	Polyprenyl synthetase
IPR019534	Protein of unknown function DUF2452
IPR007242	Ubiquitin-like protein Atg12
IPR000246	Peptidase T2, asparaginase 2
IPR015010	Rap1 Myb domain
IPR021661	TRF2-interacting telomeric protein/Rap1, C-terminal
IPR013261	Mitochondrial import inner membrane translocase subunit Tim21
IPR019530	Intra-flagellar transport protein 57
IPR003338	CDC48, N-terminal subdomain
IPR015415	Vps4 oligomerisation, C-terminal
IPR000477	Reverse transcriptase domain
IPR010554	Domain of unknown function DUF1126
IPR019394	Testis-specific protein TEX28/transmembrane and coiled-coil domains protein
IPR032707	MYCBP-associated protein
IPR007330	MIT
IPR032341	MIT, C-terminal phospholipase D-like domain
IPR009764	Ovarian carcinoma immunoreactive antigen
IPR028364	Ribosomal protein L1/ribosomal biogenesis protein
IPR032197	Ubiquitin-like modifier-activating enzyme Atg7, N-terminal
IPR021777	Protein of unknown function DUF3342
IPR006768	Cwf19-like, C-terminal domain-1
IPR001048	Aspartate/glutamate/uridylate kinase
IPR007965	Gcn5-related N-acetyltransferase (GNAT) domain, ATAT-type
IPR000184	Bacterial surface antigen (D15)
IPR007698	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain
IPR007886	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal
IPR024605	NAD(P) transhydrogenase, alpha subunit, C-terminal
IPR034300	NADP transhydrogenase beta-like domain
IPR002165	Plexin repeat
IPR013548	Plexin, cytoplasmic RasGAP domain
IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
IPR019172	Osteopetrosis-associated transmembrane protein 1 precursor
IPR033979	MINDY deubiquitinase domain
IPR018865	Serine-threonine protein kinase 19
IPR006204	GHMP kinase N-terminal domain
IPR013750	GHMP kinase, C-terminal domain
IPR007317	Uncharacterised protein family UPF0363
IPR002687	Nop domain
IPR028085	Folliculin-interacting protein, middle domain
IPR028086	Folliculin-interacting protein, C-terminal domain
IPR032443	RAWUL domain
IPR008849	Synaphin
IPR020941	Suppressor of fused-like domain
IPR024314	Suppressor of fused C-terminal
IPR003316	E2F/DP family, winged-helix DNA-binding domain
IPR010347	Tyrosyl-DNA phosphodiesterase I
IPR014889	Transcription factor DP, C-terminal
IPR019406	Zinc finger, C2H2, APLF-like
IPR031751	Protein of unknown function DUF4735
IPR030379	Septin-type guanine nucleotide-binding (G) domain
IPR006942	TH1 protein
IPR006994	Transcription factor 25
IPR001898	Solute carrier family 13
IPR032042	Protection of telomeres protein 1, ssDNA-binding domain
IPR002087	Anti-proliferative protein
IPR010770	Ecd family
IPR002867	IBR domain
IPR004240	Nonaspanin (TM9SF)
IPR032752	Ubiquitin-binding domain
IPR021893	Protein of unknown function DUF3504
IPR002745	Phosphotransferase KptA/Tpt1
IPR006904	Protein of unknown function DUF716 (TMEM45)
IPR005843	Alpha-D-phosphohexomutase, C-terminal
IPR018967	Iron sulphur-containing domain, CDGSH-type
IPR007271	Nucleotide-sugar transporter
IPR002205	DNA topoisomerase, type IIA, subunit A/C-terminal
IPR003594	Histidine kinase-like ATPase, C-terminal domain
IPR006171	TOPRIM  domain
IPR013506	DNA topoisomerase, type IIA, subunit B, domain 2
IPR031660	C-terminal associated domain of TOPRIM
IPR026298	Blc2 family
IPR015362	WIBG family
IPR018545	Btz domain
IPR004263	Exostosin-like
IPR015338	Exostosin , C-terminal
IPR000535	Major sperm protein (MSP) domain
IPR019601	Oxoglutarate/iron-dependent oxygenase, C-terminal degradation domain
IPR010614	DEAD2
IPR006762	Gtr1/RagA G protein
IPR024420	TRAPP III complex, Trs85
IPR000289	Ribosomal protein S28e
IPR001347	Sugar isomerase (SIS)
IPR007783	Eukaryotic translation initiation factor 3 subunit D
IPR020795	Origin recognition complex, subunit 3
IPR015022	Microtubule-associated serine/threonine-protein kinase, domain
IPR003656	Zinc finger, BED-type
IPR000409	BEACH domain
IPR023362	PH-BEACH domain
IPR020067	Frizzled domain
IPR002843	ATPase, V0 complex,  c/d subunit
IPR013956	E3 ubiquitin ligase, BRE1
IPR004330	FAR1 DNA binding domain
IPR009730	Micro-fibrillar-associated protein 1, C-terminal
IPR001179	FKBP-type peptidyl-prolyl cis-trans isomerase domain
IPR007281	Mre11, DNA-binding
IPR003152	FATC domain
IPR031559	Serine/threonine-protein kinase SMG1
IPR022761	Fumarate lyase, N-terminal
IPR003153	Adaptor protein Cbl, N-terminal helical
IPR014741	Adaptor protein Cbl, EF hand-like
IPR014742	Adaptor protein Cbl, SH2-like domain
IPR001674	GMP synthase, C-terminal
IPR017926	Glutamine amidotransferase
IPR022310	NAD/GMP synthase
IPR012617	Apoptosis-antagonizing transcription factor, C-terminal
IPR003605	GS domain
IPR026750	Protein N-terminal asparagine amidohydrolase
IPR010714	Coatomer, alpha subunit, C-terminal
IPR000408	Regulator of chromosome condensation, RCC1
IPR002472	Palmitoyl protein thioesterase
IPR005615	Glutathione synthase
IPR006886	DNA-directed RNA polymerase III subunit Rpc5
IPR003156	DHHA1 domain
IPR012947	Threonyl/alanyl tRNA synthetase, SAD
IPR001093	IMP dehydrogenase/GMP reductase
IPR017423	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
IPR006808	ATP synthase, F0 complex, subunit G, mitochondrial
IPR004205	Cytochrome b-c1 complex subunit 8
IPR010569	Myotubularin-like phosphatase domain
IPR014939	CDT1 Geminin-binding domain-like
IPR002376	Formyl transferase, N-terminal
IPR007527	Zinc finger, SWIM-type
IPR003109	GoLoco motif
IPR007187	Nucleoporin, Nup133/Nup155-like, C-terminal
IPR008532	Domain of unknown function DUF814
IPR021846	Domain of unknown function DUF3441
IPR002326	Cytochrome c1
IPR025715	Chromatin target of PRMT1 protein, C-terminal
IPR001041	2Fe-2S ferredoxin-type iron-sulfur binding domain
IPR015413	Methionyl/Leucyl tRNA synthetase
IPR010400	PITH domain
IPR010418	ECSIT
IPR009081	Phosphopantetheine binding ACP domain
IPR004882	Luc7-related
IPR004963	Pectinacetylesterase/NOTUM
IPR021786	Pre-mRNA splicing factor component Cdc5p/Cef1
IPR013507	DNA mismatch repair protein, C-terminal
IPR000711	ATPase, OSCP/delta subunit
IPR005522	Inositol polyphosphate kinase
IPR031775	cGMP-dependent protein kinase, interacting domain
IPR019129	Folate-sensitive fragile site protein Fra10Ac1
IPR018501	DDT domain
IPR017905	ERV/ALR sulfhydryl oxidase domain
IPR019170	Meckelin
IPR025066	Protein of unknown function DUF4078
IPR029338	Tumour suppressing sub-chromosomal transferable candidate 4
IPR010935	SMCs flexible hinge
IPR010652	Protein of unknown function DUF1232
IPR003650	Orange domain
IPR015403	Sec7, C-terminal
IPR032629	Mon2, dimerisation and cyclophilin-binding domain
IPR032691	Guanine nucleotide exchange factor, N-terminal
IPR020864	Membrane attack complex component/perforin (MACPF) domain
IPR006032	Ribosomal protein S12/S23
IPR000971	Globin
IPR005818	Linker histone H1/H5, domain H15
IPR006630	La-type HTH domain
IPR009818	Ataxin-2, C-terminal
IPR019137	Nck-associated protein 1
IPR003134	Hs1/Cortactin
IPR032013	Protein of unknown function DUF4795
IPR010643	Helical and beta-bridge domain
IPR000566	Lipocalin/cytosolic fatty-acid binding domain
IPR002995	Surfeit locus 4
IPR027901	Protein of unknown function DUF4541
IPR008829	SepSecS/SepCysS family
IPR007249	Dopey, N-terminal
IPR017978	GPCR family 3, C-terminal
IPR007726	SS18 family
IPR009224	SAMP
IPR002020	Citrate synthase
IPR003397	Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24
IPR018816	Cactin, central domain
IPR019134	Cactin, C-terminal
IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type
IPR002044	Carbohydrate binding module family 20
IPR003307	W2 domain
IPR007513	Uncharacterised protein family SERF
IPR013136	WSTF/Acf1/Cbp146
IPR028941	WHIM2 domain
IPR012972	NLE
IPR026140	28S ribosomal protein S26
IPR002083	MATH/TRAF domain
IPR024729	Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain
IPR029346	Ubiquitin carboxyl-terminal hydrolase, C-terminal
IPR001732	UDP-glucose/GDP-mannose dehydrogenase, N-terminal
IPR009723	Ribonuclease P/MRP, subunit POP1
IPR012590	POPLD
IPR005720	Dihydroorotate dehydrogenase domain
IPR000361	FeS cluster biogenesis
IPR016125	Peptidase C15, pyroglutamyl peptidase I-like
IPR014837	EF-hand, Ca insensitive
IPR019467	Histone acetyl transferase HAT1 N-terminal
IPR013583	Phosphoribosyltransferase C-terminal
IPR009332	Mediator of RNA polymerase II transcription subunit 22
IPR004217	Tim10/DDP family zinc finger
IPR010580	Stress-associated endoplasmic reticulum protein
IPR028019	Protein of unknown function DUF4508
IPR004826	Basic leucine zipper domain, Maf-type
IPR022091	TATA element modulatory factor 1 TATA binding
IPR003123	VPS9 domain
IPR000994	Peptidase M24
IPR024660	UNC-45/Cro1/She4, central domain
IPR023573	Ribosomal protein 50S-L18Ae/60S-L20/60S-L18A
IPR029324	Mitochondrial apoptosis-inducing factor, C-terminal domain
IPR031334	Piezo non-specific cation channel, R-Ras-binding domain
IPR031805	Piezo domain
IPR024969	Rpn11/EIF3F, C-terminal
IPR019169	Transmembrane protein 26
IPR008506	SRP-independent targeting protein 2/TMEM208
IPR001699	Transcription factor, T-box
IPR010339	TIP49, C-terminal
IPR007073	RNA polymerase Rpb1, domain 7
IPR007075	RNA polymerase Rpb1, domain 6
IPR015404	Sorting nexin Vps5-like, C-terminal
IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain
IPR008429	Cleft lip and palate transmembrane 1
IPR006809	TAFII28-like protein
IPR006884	Fzo/mitofusin HR2 domain
IPR000462	CDP-alcohol phosphatidyltransferase
IPR003349	JmjN domain
IPR004198	Zinc finger, C5HC2-type
IPR028266	Tumor protein p53-inducible protein 11
IPR021715	Pre-mRNA splicing Prp18-interacting factor
IPR010655	Pre-mRNA cleavage complex subunit Clp1
IPR032319	Polyribonucleotide 5'-hydroxyl-kinase Clp1, P-loop domain
IPR032324	Clp1, N-terminal beta-sandwich domain
IPR027878	Protein of unknown function DUF4551
IPR007715	Ubiquinone biosynthesis protein Coq4
IPR018902	Uncharacterised protein family UPF0573/UPF0605
IPR009604	LsmAD domain
IPR007829	TM2 domain
IPR003126	Zinc finger, UBR-type
IPR028213	PTIP-associated protein 1
IPR000023	Phosphofructokinase domain
IPR000488	Death domain
IPR029732	WTAP/Mum2 family
IPR025304	ALIX V-shaped domain
IPR005160	Ku70/Ku80 C-terminal arm
IPR005161	Ku70/Ku80, N-terminal alpha/beta
IPR006164	Ku70/Ku80 beta-barrel domain
IPR025110	AMP-binding enzyme, C-terminal domain
IPR032387	Acetyl-coenzyme A synthetase, N-terminal domain
IPR002550	Domain of unknown function DUF21
IPR022617	Rad60/SUMO-like domain
IPR018999	RNA helicase UPF1, UPF2-interacting domain
IPR001563	Peptidase S10, serine carboxypeptidase
IPR019306	Transmembrane protein 231
IPR001315	CARD domain
IPR022159	Tuftelin interacting protein, N-terminal domain
IPR006939	SNF5/SMARCB1/INI1
IPR032448	SMARCC, SWIRM-associated domain
IPR032451	SMARCC, C-terminal
IPR003902	Transcription regulator GCM domain
IPR001247	Exoribonuclease, phosphorolytic domain 1
IPR004045	Glutathione S-transferase, N-terminal
IPR008564	Protein of unknown function DUF846, eukaryotic
IPR003010	Carbon-nitrogen hydrolase
IPR004046	Glutathione S-transferase, C-terminal
IPR013657	UAA transporter
IPR003533	Doublecortin domain
IPR002420	Phosphatidylinositol 3-kinase, C2 domain
IPR021922	Par3/HAL, N-terminal
IPR000539	Frizzled protein
IPR000118	Granulin
IPR007657	Glycosyltransferase 61
IPR019442	Domain of unknown function DUF2428, death-receptor-like
IPR000537	UbiA prenyltransferase family
IPR019610	Iron sulphur domain-containing, mitoNEET, N-terminal
IPR022535	Golgi pH regulator, conserved domain
IPR025969	Abscisic acid G-protein coupled receptor-like domain
IPR019549	Homeobox engrailed, C-terminal
IPR016180	Ribosomal protein L10e/L16
IPR014936	Axin beta-catenin binding
IPR001763	Rhodanese-like domain
IPR018611	E3 UFM1-protein ligase 1
IPR000878	Tetrapyrrole methylase
IPR018307	AVL9/DENND6 domain
IPR010678	Digestive organ expansion factor, predicted
IPR002755	DNA primase, small subunit
IPR003306	WIF domain
IPR002108	Actin-depolymerising factor homology domain
IPR001753	Crotonase superfamily
IPR005031	Coenzyme Q-binding protein COQ10, START domain
IPR001576	Phosphoglycerate kinase
IPR020040	Ribosomal protein L6, alpha-beta domain
IPR000372	Leucine-rich repeat N-terminal domain
IPR007143	Vacuolar protein sorting-associated, VPS28
IPR006769	Coiled-coil domain containing protein 109, C-terminal
IPR013893	Ribonuclease P, Rpp40
IPR018801	Putative transmembrane protein precursor
IPR001863	Glypican
IPR032714	Zinc finger protein DZIP1, N-terminal
IPR019539	Galactokinase galactose-binding domain
IPR032438	ERCC3/RAD25/XPB helicase, C-terminal domain
IPR011566	Ubiquinone biosynthesis protein Coq7
IPR028022	Protein of unknown function DUF4600
IPR007320	Programmed cell death protein 2, C-terminal
IPR006935	Helicase/UvrB, N-terminal
IPR032830	Helicase XPB/Ssl2, N-terminal domain
IPR010491	PRP1 splicing factor, N-terminal
IPR013641	Protein KTI12/L-seryl-tRNA(Sec) kinase
IPR023128	Protein N-terminal glutamine amidohydrolase, alpha beta roll
IPR027833	Domain of unknown function DUF4525
IPR004015	SKI-interacting protein SKIP, SNW domain
IPR000197	Zinc finger, TAZ-type
IPR000433	Zinc finger, ZZ-type
IPR003101	Coactivator CBP, KIX domain
IPR010303	CREB-binding protein/p300, atypical RING domain
IPR013178	Histone acetyltransferase Rtt109/CBP
IPR002558	I/LWEQ domain
IPR013724	GIT, Spa2 homology (SHD) domain
IPR022018	ARF GTPase-activating protein GIT1, C-terminal
IPR015221	Ubiquitin-related modifier 1
IPR006606	Bardet-Biedl syndrome 5 protein
IPR014806	Ubiquitin-fold modifier-conjugating enzyme 1
IPR021861	THO complex, subunit THOC1
IPR001509	NAD-dependent epimerase/dehydratase
IPR016072	SKP1 component, dimerisation
IPR008468	DNA methyltransferase 1-associated 1
IPR032563	DAMP1, SANT/Myb-like domain
IPR008913	Zinc finger, CHY-type
IPR002504	NAD kinase
IPR007309	B-block binding subunit of TFIIIC
IPR004193	Glycoside hydrolase, family 13, N-terminal
IPR006048	Alpha-amylase/branching enzyme, C-terminal all beta
IPR022755	Zinc finger, double-stranded RNA binding
IPR003378	Fringe-like
IPR013636	Domain of unknown function DUF1741
IPR027474	L-asparaginase, N-terminal
IPR010508	Domain of unknown function DUF1088
IPR031570	Domain of unknown function DUF4704
IPR005645	Serine hydrolase FSH
IPR005647	Meiotic nuclear division protein 1
IPR012875	Protein of unknown function DUF1674
IPR031419	RAD51 interacting motif
IPR006921	Interferon-related developmental regulator, C-terminal
IPR007701	Interferon-related developmental regulator, N-terminal
IPR008614	Acidic fibroblast growth factor intracellular-binding protein
IPR007832	RNA polymerase Rpc34
IPR022417	Porphobilinogen deaminase, N-terminal
IPR022418	Porphobilinogen deaminase, C-terminal
IPR032808	DoxX family
IPR013924	Ribonuclease H2, subunit C
IPR002490	V-type  ATPase, V0 complex, 116kDa subunit family
IPR007807	Helicase domain
IPR027992	Possible tRNA binding domain
IPR007308	Protein of unknown function DUF408
IPR013957	U4/U6.U5 small nuclear ribonucleoprotein 27kDa protein
IPR024725	E3 ubiquitin ligase EDD, ubiquitin-associated domain
IPR011500	GPCR, family 3, nine cysteines domain
IPR019577	SPARC/Testican, calcium-binding domain
IPR031790	Nitric oxide synthase-interacting protein, zinc-finger
IPR007865	Aminopeptidase P, N-terminal
IPR025202	Phospholipase D-like domain
IPR005612	CCAAT-binding factor
IPR015798	Copper amine oxidase, C-terminal
IPR022158	Inositol phosphatase
IPR000218	Ribosomal protein L14P
IPR005375	Ubiquitin-fold modifier 1
IPR001293	Zinc finger, TRAF-type
IPR013256	Chromatin SPT2
IPR019572	Ubiquitin-activating enzyme, catalytic cysteine domain
IPR007198	Ssl1-like
IPR011063	tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal
IPR019407	Cytoplasmic tRNA 2-thiolation protein 2
IPR013537	Acetyl-CoA carboxylase, central domain
IPR034733	Acetyl-CoA carboxylase
IPR001503	Glycosyl transferase family 10
IPR031481	Fucosyltransferase, N-terminal
IPR025220	NFRKB winged helix-like domain
IPR029327	HAUS augmin-like complex subunit 4
IPR022652	Zinc finger, XPA-type, conserved site
IPR022656	XPA C- terminal
IPR000999	Ribonuclease III domain
IPR005034	Dicer dimerisation domain
IPR007246	GPI transamidase component Gaa1
IPR013954	Polynucleotide kinase 3 phosphatase
IPR029168	Meiotic recombination protein REC114-like
IPR000597	Ribosomal protein L3
IPR026183	Taxilin family
IPR019403	Mediator complex, subunit Med19, metazoa
IPR002719	Retinoblastoma-associated protein, B-box
IPR002720	Retinoblastoma-associated protein, A-box
IPR024599	Retinoblastoma-associated protein, N-terminal
IPR019269	Biogenesis of lysosome-related organelles complex-1, subunit 2
IPR009846	Splicing factor 3B subunit 5/RDS3 complex subunit 10
IPR000988	Ribosomal protein L24e-related
IPR024298	Ancestral coatomer element 1, Sec16/Sec31
IPR013180	Beta-catenin-like protein 1, N-terminal
IPR006917	SOUL haem-binding protein
IPR007967	Protein of unknown function DUF727
IPR025697	CLU domain
IPR028275	Clustered mitochondria protein, N-terminal
IPR033646	CLU central domain
IPR032191	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
IPR007115	6-pyruvoyl tetrahydropterin synthase/QueD family protein
IPR015847	Exoribonuclease, phosphorolytic domain 2
IPR006434	Pyrimidine 5'-nucleotidase, eukaryotic
IPR008805	RIB43A
IPR031526	Protein of unknown function DUF4698
IPR025609	Lsm14-like, N-terminal
IPR000010	Cystatin domain
IPR004776	Membrane transport protein
IPR004364	Aminoacyl-tRNA synthetase, class II (D/K/N)
IPR015019	Ragulator complex protein LAMTOR3
IPR003674	Oligosaccharyl transferase, STT3 subunit
IPR000266	Ribosomal protein S17/S11
IPR022707	Domain of unknown function DUF3535
IPR011074	CRAL/TRIO, N-terminal domain
IPR010036	Magnesium-dependent phosphatase-1, eukaryotic/archaeal type
IPR007728	Pre-SET domain
IPR007757	MT-A70-like
IPR019316	G8 domain
IPR029123	Splicing factor RBM39, linker
IPR001114	Adenylosuccinate synthetase
IPR025958	SID1 transmembrane family
IPR000938	CAP Gly-rich domain
IPR032108	CLIP1, zinc knuckle
IPR010606	Mib-herc2
IPR019346	Ribosomal protein S32, mitochondrial
IPR009637	Lung seven transmembrane receptor-like
IPR020984	Cell cycle regulatory protein Speedy
IPR031330	Glycoside hydrolase 35, catalytic domain
IPR013876	TFIIH p62 subunit, N-terminal
IPR024571	ERAP1-like C-terminal domain
IPR007751	Domain of unknown function DUF676, lipase-like
IPR022122	Protein FAM135
IPR013528	Hydroxymethylglutaryl-coenzyme A synthase, N-terminal
IPR013746	Hydroxymethylglutaryl-coenzyme A synthase C-terminal domain
IPR001656	Pseudouridine synthase, TruD
IPR004308	Glutamate-cysteine ligase catalytic subunit
IPR019371	Uncharacterised domain KxDL
IPR031973	Deltamethrin resistance protein prag01
IPR007231	Nucleoporin interacting component Nup93/Nic96
IPR001912	Ribosomal protein S4/S9, N-terminal
IPR025223	S1-like RNA binding domain
IPR013257	SRI, Set2 Rpb1 interacting
